Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2017-04-11,0,"8,9","24,7","5,2"
2017-04-12,0,"10,6","25,5","4,6"
2017-04-13,0,"10,1","23,3","4,6"
2017-04-14,0,"8,7","23,5","2,8"
2017-04-15,0,"10,5","21,6","5,2"
2017-04-16,0,"11,4","18,2","5,8"
2017-04-17,0,"13,1","21,5","4,1"
2017-04-18,"2,2","9,2","16,2","2,7"
2017-04-19,"0,1","6,5",23,3
2017-04-20,"0,1","8,7","23,6","2,1"
2017-04-21,"1,2","11,2","20,1","2,8"
2017-04-22,"5,2","10,1","19,4","3,7"
2017-04-23,0,"9,3","23,5","6,3"
2017-04-24,0,"8,7","17,6","3,4"
2017-04-25,"15,2","4,6","16,5","6,6"
2017-04-26,0,"1,9","17,7","7,3"
2017-04-27,0,"5,7",25,"4,4"
2017-04-28,0,"7,1","25,9","3,7"
2017-04-29,0,5,"26,8","3,9"
2017-04-30,0,"6,5","26,7","4,6"
2017-05-01,0,"10,3","27,4","5,5"
2017-05-02,0,"11,3",22,"4,1"
2017-05-03,0,"8,3","20,5","2,7"
2017-05-04,0,9,"25,7","5,2"
2017-05-05,0,"11,1",27,"4,4"
2017-05-06,0,"14,2","25,9","5,5"
2017-05-07,"25,2","9,1","25,8","6,7"
2017-05-08,"11,5","6,4","18,3",8
2017-05-09,0,5,"18,1","4,3"
2017-05-10,0,10,"17,2","4,3"
2017-05-11,0,"11,5","17,7","3,5"
2017-05-12,0,"10,3","11,9","3,5"
2017-05-13,"0,5","6,2","14,5","2,4"
2017-05-14,"0,1","4,2","21,3","2,1"
2017-05-15,0,"7,2","16,9","3,3"
2017-05-16,0,"4,9","20,6","4,7"
2017-05-17,"0,1","4,4","19,2","4,1"
2017-05-18,"2,3","8,2","13,9","5,4"
2017-05-19,"13,4",5,"8,8","7,4"
2017-05-20,"1,4",5,"13,4","7,6"
2017-05-21,0,"4,7","23,8","3,2"
2017-05-22,0,"4,3","20,6","3,6"
2017-05-23,0,"5,9","13,3","3,2"
2017-05-24,0,"7,9",12,"3,1"
2017-05-25,"3,6",3,"10,6","4,5"
2017-05-26,"0,1","0,9","14,6","2,8"
2017-05-27,0,"0,8","14,6","3,5"
2017-05-28,0,"0,3","16,8","3,5"
2017-05-29,0,"0,3","15,9",3
2017-05-30,0,"3,9","13,9","2,5"
2017-05-31,0,"1,1","18,8","2,8"
2017-06-01,0,"1,7","19,3","2,4"
2017-06-02,0,"1,2","17,5","5,1"
2017-06-03,0,"1,7","17,3","3,3"
2017-06-04,0,"1,2","13,8","7,1"
2017-06-05,"1,5","0,4","7,3","3,7"
2017-06-06,"0,1","0,1","17,6","3,3"
2017-06-07,0,"2,8","20,7","4,5"
2017-06-08,1,"-0,4","10,9","12,2"
2017-06-09,0,"1,1","22,2","5,2"
2017-06-10,0,5,27,"4,1"
2017-06-11,0,"-0,4","13,8","3,6"
2017-06-12,0,"-1,5","19,7","4,1"
2017-06-13,0,"2,8","18,8",4
2017-06-14,0,2,"21,3","5,2"
2017-06-15,0,"5,4","25,9","5,4"
2017-06-16,0,"7,3","22,3","3,6"
2017-06-17,"0,1","-1,2","15,4",6
2017-06-18,0,"-4,2","10,4","7,9"
2017-06-19,0,"-5,6","14,6","4,6"
2017-06-20,0,"-5,9","13,3","5,7"
2017-06-21,0,"-3,3","15,6","4,5"
2017-06-22,0,"4,6","20,1","5,5"
2017-06-23,0,"3,5","11,7","2,7"
2017-06-24,"0,1","8,2","11,7","3,7"
2017-06-25,"0,5","9,1","12,6","3,2"
2017-06-26,"0,6","8,2","12,2","4,7"
2017-06-27,"3,3","6,9","9,5","5,2"
2017-06-28,"0,4","3,5","16,7","2,8"
2017-06-29,0,4,"20,6","3,2"
2017-06-30,0,"1,7","19,2","2,9"
2017-07-01,0,"1,8",22,"4,1"
2017-07-02,0,"4,3","23,2","8,3"
2017-07-03,0,"13,2","24,8","9,1"
2017-07-04,"8,1","7,9","21,5","6,6"
2017-07-05,"2,2","4,7","13,6","4,7"
2017-07-06,0,"7,4","16,3","4,2"
2017-07-07,0,"6,9","8,6","4,7"
2017-07-08,"0,2","2,6","12,5","3,3"
2017-07-09,"0,2","0,3","16,3","5,9"
2017-07-10,"0,1","5,6","9,2","4,5"
2017-07-11,0,"1,8","15,1","3,7"
2017-07-12,0,"8,1","19,4","2,9"
2017-07-13,0,"9,2","17,4","4,2"
2017-07-14,0,"1,9","16,8","6,6"
2017-07-15,0,"-1,8","15,2","9,6"
2017-07-16,0,"-6,4","4,4","5,8"
2017-07-17,0,"-6,4","14,9","5,5"
2017-07-18,0,"-4,2","20,5","4,2"
2017-07-19,0,"0,7","23,1","5,1"
2017-07-20,0,"-0,2","22,8","3,7"
2017-07-21,0,0,"23,4","3,3"
2017-07-22,0,"4,9","23,8","7,2"
2017-07-23,0,"2,8","16,5","6,7"
2017-07-24,0,"-1,6",16,"6,1"
2017-07-25,0,"5,8",18,"6,1"
2017-07-26,0,"4,5","20,1","4,4"
2017-07-27,0,"2,1","25,5",7
2017-07-28,"0,3","8,2","16,8","3,4"
2017-07-29,0,"8,8",13,"3,4"
2017-07-30,0,"5,6","8,6","2,6"
2017-07-31,0,"2,8","11,6","3,7"
